Ec,Xi,Eta,k,Fval,Gval
-1,3,3.1,2.0,0.99989,0.0
-1,3,3.12,2.0,0.99989,0.0
-1,3,3.14,2.0,0.99989,0.0
-1,3,3.16,2.0,0.99989,0.0
-1,3,3.18,2.0,0.99989,0.0
-1,3,3.2,2.0,0.99989,0.0
-1,3,3.22,2.0,0.99989,0.0
-1,3,3.24,2.0,0.99989,0.0
-1,3,3.26,2.0,0.99989,0.0
-1,3,3.28,2.0,0.9999,0.0
-1,3,3.3,2.0,0.9999,0.0
-1,3,3.32,2.0,0.9999,0.0
-1,3,3.34,2.0,0.9999,0.0
-1,3,3.36,2.0,0.9999,0.0
-1,3,3.38,2.0,0.99991,0.0
-1,3,3.4,2.0,0.99991,0.0
-1,3,3.42,2.0,0.99991,0.0
-1,3,3.44,2.0,0.99991,0.0
-1,3,3.46,2.0,0.99992,0.0
-1,3,3.48,2.0,0.99992,0.0
-1,3,3.5,2.0,0.99992,0.0
-1,3,3.52,2.0,0.99993,0.0
-1,3,3.54,2.0,0.99993,0.0
-1,3,3.56,2.0,0.99993,0.0
-1,3,3.58,2.0,0.99993,0.0
-1,3,3.6,2.0,0.99994,0.0
-1,3,3.62,2.0,0.99994,0.0
-1,3,3.64,2.0,0.99994,0.0
-1,3,3.66,2.0,0.99995,0.0
-1,3,3.68,2.0,0.99995,0.0
-1,3,3.7,2.0,0.99995,0.0
-1,3,3.72,2.0,0.99995,0.0
-1,3,3.74,2.0,0.99996,0.0
-1,3,3.76,2.0,0.99996,0.0
-1,3,3.78,2.0,0.99996,0.0
-1,3,3.8,2.0,0.99997,0.0
-1,3,3.82,2.0,0.99997,0.0
-1,3,3.84,2.0,0.99997,0.0
-1,3,3.86,2.0,0.99997,0.0
-1,3,3.88,2.0,0.99998,0.0
-1,3,3.9,2.0,0.99998,0.0
-1,3,3.92,2.0,0.99998,0.0
-1,3,3.94,2.0,0.99999,0.0
-1,3,3.96,2.0,0.99999,0.0
-1,3,3.98,2.0,0.99999,0.0
-1,3,4.0,2.0,1.0,0.0
-1,3,4.02,2.0,1.0,0.0
-1,3,4.04,2.0,1.0,0.0
-1,3,4.06,2.0,1.00001,0.0
-1,3,4.08,2.0,1.00001,0.0
-1,3,4.1,2.0,1.00001,0.0
-1,3,4.12,2.0,1.00002,0.0
-1,3,4.14,2.0,1.00002,0.0
-1,3,4.16,2.0,1.00002,0.0
-1,3,4.18,2.0,1.00003,0.0
-1,3,4.2,2.0,1.00003,0.0
-1,3,4.22,2.0,1.00003,0.0
-1,3,4.24,2.0,1.00004,0.0
-1,3,4.26,2.0,1.00004,0.0
-1,3,4.28,2.0,1.00004,0.0
-1,3,4.3,2.0,1.00005,0.0
-1,3,4.32,2.0,1.00005,0.0
-1,3,4.34,2.0,1.00005,0.0
-1,3,4.36,2.0,1.00006,0.0
-1,3,4.38001,2.0,1.00006,0.0
-1,3,4.40001,2.0,1.00006,0.0
-1,3,4.42001,2.0,1.00006,0.0
-1,3,4.44001,2.0,1.00006,0.0
-1,3,4.46001,2.0,1.00006,0.0
-1,3,4.48001,2.0,1.00006,0.0
-1,3,4.50001,2.0,1.00005,0.0
-1,3,4.52001,2.0,1.00005,0.0
-1,3,4.54001,2.0,1.00005,0.0
-1,3,4.56001,2.0,1.00005,0.0
-1,3,4.58001,2.0,1.00005,0.0
-1,3,4.60001,2.0,1.00005,0.0
-1,3,4.62001,2.0,1.00004,0.0
-1,3,4.64001,2.0,1.00004,0.0
-1,3,4.66001,2.0,1.00004,0.0
-1,3,4.68001,2.0,1.00004,0.0
-1,3,4.70001,2.0,1.00004,0.0
-1,3,4.72001,2.0,1.00003,0.0
-1,3,4.74001,2.0,1.00003,0.0
-1,3,4.76001,2.0,1.00003,0.0
-1,3,4.78001,2.0,1.00003,0.0
-1,3,4.80001,2.0,1.00003,0.0
-1,3,4.82002,2.0,1.00002,0.0
-1,3,4.84002,2.0,1.00002,0.0
-1,3,4.86002,2.0,1.00002,0.0
-1,3,4.88002,2.0,1.00002,0.0
-1,3,4.90002,2.0,1.00001,0.0
-1,3,4.92002,2.0,1.00001,0.0
-1,3,4.94002,2.0,1.00001,0.0
