ETA,Pi1,Pi2,Pi3,Pi4,Pi5
3.61,40.29625,35.3502,36.21209,29.76392,28.75582
3.62,33.72665,29.69495,30.37921,25.12215,24.28861
3.63,14.79403,13.39117,13.56951,11.73897,11.41004
3.64,-6.94195,-5.33284,-5.73475,-3.64026,-3.39151
3.65,-20.33964,-16.88601,-17.647,-13.1515,-12.55094
3.66,-18.36061,-15.20726,-15.91945,-11.82086,-11.28248
3.67,-1.78597,-0.9639,-1.23955,-0.18573,-0.10074
3.68,21.01661,18.64838,18.97595,15.8671,15.33483
3.69,38.27979,33.50709,34.29362,28.05057,27.05562
3.7,40.90683,35.78531,36.64581,29.95318,28.89536
3.71,27.297,24.10272,24.60928,20.43783,19.75864
3.72,4.34801,4.38804,4.29407,4.34831,4.30039
3.73,-16.00848,-13.1009,-13.72809,-9.92908,-9.41823
3.74,-23.03259,-19.13142,-19.94202,-14.84593,-14.14136
3.75,-12.92085,-10.43516,-10.97959,-7.73175,-7.30224
3.76,9.03133,8.43407,8.4655,7.68772,7.51725
3.77,31.13108,27.42321,28.03213,23.19124,22.41372
3.78,41.51161,36.33013,37.20622,30.43727,29.36897
3.79,34.58063,30.34838,31.03536,25.49974,24.61031
3.8,14.15799,12.76584,12.90982,11.07612,10.73322
3.81,-8.49993,-6.73344,-7.18818,-4.90166,-4.63396
3.82,-20.83,-17.34077,-18.11799,-13.58186,-12.97884
3.83,-15.94258,-13.12768,-13.76999,-10.10916,-9.63248
3.84,3.43769,3.5627,3.43924,3.59662,3.55827
3.85,26.36508,23.31249,23.80103,19.81837,19.17071
3.86,39.7571,34.86161,35.7082,29.32523,28.32527
3.87,35.82221,31.49829,32.24215,26.60673,25.71939
3.88,16.6194,14.98521,15.21984,13.09315,12.72563
3.89,-6.94722,-5.30061,-5.69288,-3.54151,-3.27736
3.9,-21.25826,-17.63814,-18.41418,-13.69262,-13.05165
3.91,-17.83138,-14.72129,-15.41253,-11.3625,-10.82604
3.92,1.62957,1.99347,1.81154,2.27237,2.27228
3.93,26.01998,22.9593,23.41865,19.40715,18.74109
3.94,41.15934,35.9796,36.83823,30.061,28.98429
3.95,38.08237,33.34111,34.12055,27.91819,26.92867
3.96,18.43156,16.45396,16.719,14.12824,13.67827
3.97,-6.33219,-4.82617,-5.20864,-3.24745,-3.0173
3.98,-21.59347,-17.9305,-18.70913,-13.92789,-13.27466
3.99,-18.27735,-15.05742,-15.74303,-11.53655,-10.96512
4,1.61529,2.0662,1.90797,2.50206,2.5389
4.01,26.06593,23.09759,23.58286,19.71418,19.08761
