Ri,M,Eta,k,Fval,Gval
-1,3,1.68,3.0,1.008,0.00014
-1,3,1.7,3.0,1.0075,0.00012
-1,3,1.72,3.0,1.00702,0.0001
-1,3,1.74,3.0,1.00657,8e-05
-1,3,1.76,3.0,1.00615,6e-05
-1,3,1.78,3.0,1.00575,5e-05
-1,3,1.8,3.0,1.00538,4e-05
-1,3,1.82,3.0,1.00502,4e-05
-1,3,1.84,3.0,1.00469,3e-05
-1,3,1.86,3.0,1.00438,2e-05
-1,3,1.88,3.0,1.00409,2e-05
-1,3,1.9,3.0,1.00381,2e-05
-1,3,1.92,3.0,1.00355,1e-05
-1,3,1.94,3.0,1.00331,1e-05
-1,3,1.96,3.0,1.00308,1e-05
-1,3,1.98,3.0,1.00287,1e-05
-1,3,2.0,3.0,1.00267,1e-05
-1,3,2.02,3.0,1.00248,0.0
-1,3,2.04,3.0,1.00231,0.0
-1,3,2.06,3.0,1.00214,0.0
-1,3,2.08,3.0,1.00199,0.0
-1,3,2.1,3.0,1.00185,0.0
-1,3,2.12,3.0,1.00171,0.0
-1,3,2.14,3.0,1.00159,0.0
-1,3,2.16,3.0,1.00147,0.0
-1,3,2.18,3.0,1.00136,0.0
-1,3,2.2,3.0,1.00126,0.0
-1,3,2.22,3.0,1.00117,0.0
